0;Transverse aux secteurs
H2410;Opérateur / Opératrice de finition en industrie du textile
H2413;Opérateur / Opératrice de préparation en industrie textile
H2414;Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés
H2415;Contrôleur / Contrôleuse en industrie textile
H2416;Gainier industriel / Gainière industrielle
H2417;Chef / Cheffe de rame textile
H2418;Opérateur / Opératrice sur machine de production et transformation des fils
H2419;Passementier / Passementière en industrie textile
H2420;Repasseur / Repasseuse en industrie textile et de l'habillement
H2421;Opérateur / Opératrice de fabrication de produits textiles
H2422;Tapissier industriel / Tapissière industrielle
H2423;Mécanicien / Mécanicienne industrie textile et de l'habillement
H2424;Chef / Cheffe de ligne chromo en industrie textile
H2425;Fileur / Fileuse en industrie textile
H2426;Chef / Cheffe d'équipe en atelier de coupe
H2427;Effileur / Effileuse en dentelles
H2505;Chef / Cheffe d'équipe et d'atelier textile
K2201;Blanchisseur industriel / Blanchisseuse industrielle
14;Industrie de l'habillement
;
B1801;Modiste
B1803;Couturier / Couturière
B1804;Brodeur / Brodeuse
B1805;Styliste
B1807;Assistant / Assistante styliste
B1808;Premier / Première d'atelier
B1810;Fourreur / Fourreuse
B1812;Modéliste
B1813;Tailleur / Tailleuse
B1814;Directeur / Directrice de collection
D1207;Retoucheur / Retoucheuse en habillement
D1214;Vendeur / Vendeuse en prêt-à-porter
D1242;Linger / Lingère
H1201;Technicien / Technicienne coloriste en industrie
H1205;Modéliste industriel / Modéliste industrielle
H1232;Technicien / Technicienne d'études en industrie des matériaux souples
H2401;Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés
H2402;Couturier industriel / Couturière industrielle de l'habillement
H2403;Conducteur / Conductrice de machines de fabrication de produits textiles
H2404;Conducteur / Conductrice de machine de production et transformation des fils
H2405;Conducteur / Conductrice de ligne de production de textiles non-tissés
H2406;Conducteur / Conductrice de machines de traitement textile
H2407;Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux
H2409;Coupeur / Coupeuse en industrie textile et matériaux souples
H2410;Opérateur / Opératrice de finition en industrie du textile
H2411;Monteur / Monteuse prototypiste cuir et matériaux souples
H2412;Patronnier / Patronnière
H2414;Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés
H2415;Contrôleur / Contrôleuse en industrie textile
H2416;Gainier industriel / Gainière industrielle
H2419;Passementier / Passementière en industrie textile
H2420;Repasseur / Repasseuse en industrie textile et de l'habillement
H2421;Opérateur / Opératrice de fabrication de produits textiles
H2423;Mécanicien / Mécanicienne industrie textile et de l'habillement
H2424;Chef / Cheffe de ligne chromo en industrie textile
H2425;Fileur / Fileuse en industrie textile
H2426;Chef / Cheffe d'équipe en atelier de coupe
H2427;Effileur / Effileuse en dentelles
H2505;Chef / Cheffe d'équipe et d'atelier textile
15;Industrie du cuir et de la chaussure
;
B1802;Maroquinier / Maroquinière
B1805;Styliste
B1807;Assistant / Assistante styliste
B1809;Sellier / Sellière
B1811;Sellier-garnisseur / Sellière-garnisseuse
D1226;Nettoyeur / Nettoyeuse en cuir et peausserie
H1201;Technicien / Technicienne coloriste en industrie
H1231;Patronnier / Patronnière en chaussures
H1232;Technicien / Technicienne d'études en industrie des matériaux souples
H1240;Agent / Agente de finissage couleurs et effets cuirs et peaux
H2401;Opérateur / Opératrice de fabrication industrie des cuirs, peaux et matériaux associés
H2407;Opérateur / Opératrice sur machine de transformation et de finition des cuirs et peaux
H2411;Monteur / Monteuse prototypiste cuir et matériaux souples
H2414;Opérateur / Opératrice de préparation ou de finition sur articles de cuirs, peaux ou matériaux associés
H2415;Contrôleur / Contrôleuse en industrie textile
H2416;Gainier industriel / Gainière industrielle
H2422;Tapissier industriel / Tapissière industrielle
H2426;Chef / Cheffe d'équipe en atelier de coupe
16;Travail du bois et fabrication d'articles en bois et en liege, a l'exception des meubles, fabrication d'articles en vannerie et sparterie
;
B1401;Vannier / Vannière
B1404;Canneur rempailleur / Canneuse rempailleuse
F1501;Monteur / Monteuse de structures bois
F1503;Charpentier / Charpentière
F1504;Charpentier / Charpentière de marine
H2201;Assembleur / Assembleuse d'ouvrages en bois
H2202;Conducteur / Conductrice de machines à bois
H2203;Machiniste en fabrications de panneaux de bois
H2204;Contremaître / Contremaîtresse en menuiserie
H2205;Ouvrier / Ouvrière de scierie
H2206;Menuisier / Menuisière
H2207;Ebéniste
H2208;Façonnier / Façonnière d'ouvrages décoratifs en bois et matériaux associés
H2209;Dessinateur / Dessinatrice de structures en bois
H2210;Tonnelier / Tonnelière
H2211;Opérateur / Opératrice de sciage bois
H2212;Technicien / Technicienne de fabrication en industrie du bois
H2214;Mérandier / Mérandière
17;Industrie du papier et du carton
;
E1301;Conducteur / Conductrice de machines d'impression
E1302;Conducteur / Conductrice de machines de façonnage routage
E1310;Contrôleur / Contrôleuse qualité en industrie graphique
E1311;Régleur / Régleuse de machines de façonnage routage
E1313;Agent / Agente d'encadrement en industrie graphique
E1314;Conducteur / Conductrice de machines à pelliculer
E1315;Conducteur / Conductrice de machines de reliure automatique
H3101;Conducteur / Conductrice de machines à papier ou carton
H3102;Conducteur / Conductrice d'installation de pâte à papier
H3103;Opérateur / Opératrice de production de pâte à papier
H3104;Opérateur / Opératrice de production de papier carton
H3105;Technicien / Technicienne de production en industrie papetière
H3302;Agent / Agente de conditionnement
18;Imprimerie et reproduction d'enregistrements
;
B1402;Relieur / Relieuse d'art
B1403;Restaurateur / Restauratrice de livres anciens
E1203;Technicien / Technicienne de laboratoire photographique
E1301;Conducteur / Conductrice de machines d'impression
E1302;Conducteur / Conductrice de machines de façonnage routage
E1303;Chef / Cheffe de fabrication en industrie graphique
E1304;Agent / Agente de façonnage et routage
E1305;Préparateur-correcteur / Préparatrice-correctrice en industrie graphique
E1306;Opérateur / Opératrice de prépresse
E1307;Reprographe
E1308;Technicien / Technicienne des industries graphiques
E1309;Responsable d'atelier de façonnage routage
E1310;Contrôleur / Contrôleuse qualité en industrie graphique
E1311;Régleur / Régleuse de machines de façonnage routage
E1313;Agent / Agente d'encadrement en industrie graphique
E1314;Conducteur / Conductrice de machines à pelliculer
E1315;Conducteur / Conductrice de machines de reliure automatique
E1415;Directeur / Directrice de la production publicitaire
H2408;Imprimeur / Imprimeuse textile
19;Cokefaction et raffinage
;
2;Sylviculture et exploitation forestiere
;
A1102;Conducteur / Conductrice d'engins d'exploitation forestière
A1201;Bûcheron / Bûcheronne
A1205;Sylviculteur / Sylvicultrice
A1209;Elagueur / Elagueuse
A1210;Ouvrier forestier / Ouvrière forestière
A1212;Chef / Cheffe d'équipe de travaux forestiers
A1213;Conducteur / Conductrice de travaux forestiers
A1301;Technicien / Technicienne de culture maraîchère
A1307;Ingénieur forestier / Ingénieure forestière
A1311;Technicien forestier / Technicienne forestière
F1119;Pédologue
G1103;Directeur / Directrice de parc régional
H2205;Ouvrier / Ouvrière de scierie
H2211;Opérateur / Opératrice de sciage bois
I1603;Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles
20;Industrie chimique
;
F1116;Ingénieur / Ingénieure démantèlement nucléaire
F1122;Ingénieur / Ingénieure Chantier nucléaire
H1102;Ingénieur / Ingénieure d'affaires en industrie
H1103;Responsable d'affaires en industrie pharmaceutique
H1201;Technicien / Technicienne coloriste en industrie
H1220;Responsable formulation en industrie pharmaceutique
H1241;Architecte système hydrogène
H1302;Ingénieur / Ingénieure Hygiène, Sécurité et Environnement en industrie (HSE)
H1304;Responsable environnement en industrie
H1306;Ingénieur / Ingénieure sûreté en industrie nucléaire
H1307;Responsable de la conformité industrielle
H1309;Technicien / Technicienne en radioprotection
H1505;Nez
H1511;Chargé / Chargée de validation-qualification en industrie pharmaceutique
H1512;Directeur / Directrice de zone en industrie pharmaceutique
H2301;Conducteur / Conductrice de ligne en industrie chimique
H2304;Opérateur / Opératrice de fabrication des industries chimiques
H2710;Responsable technique d'installation hydrogène
H3201;Plasturgiste
H3303;Cuisinier / Cuisinière en industrie chimique
K1729;Opérateur / Opératrice en pyrotechnie militaire
M1708;Directeur / Directrice de l'accès au marché en industrie pharmaceutique
21;Industrie pharmaceutique
;
D1412;Délégué médical hospitalier / Déléguée médicale hospitalière
H1102;Ingénieur / Ingénieure d'affaires en industrie
H1103;Responsable d'affaires en industrie pharmaceutique
H1104;Directeur / Directrice des affaires médicales pharmaceutiques
H1105;Chef de projets santé / Cheffe de projets santé
H1212;Ingénieur / Ingénieure brevet en industrie
H1213;Responsable du développement clinique en industrie pharmaceutique
H1216;Responsable des études épidémiologiques
H1217;Technicien / Technicienne formulation en industrie pharmaceutique
H1219;Responsable opérationnel / Responsable opérationnelle des études cliniques en industrie pharmaceutique
H1220;Responsable formulation en industrie pharmaceutique
H1221;Responsable des partenariats de recherche en industrie pharmaceutique
H1222;Responsable médical / Responsable médicale des études cliniques en industrie pharmaceutique
H1223;Coordinateur / Coordinatrice d'études cliniques en industrie pharmaceutique
H1226;Rédacteur médical / Rédactrice médicale en industrie pharmaceutique
H1302;Ingénieur / Ingénieure Hygiène, Sécurité et Environnement en industrie (HSE)
H1303;Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)
H1307;Responsable de la conformité industrielle
H1508;Assureur / Assureuse qualité industrie
H1509;Responsable des affaires règlementaires en industrie pharmaceutique
H1511;Chargé / Chargée de validation-qualification en industrie pharmaceutique
H1512;Directeur / Directrice de zone en industrie pharmaceutique
H1513;Responsable de pharmacovigilance en industrie pharmaceutique
H1514;Chargé / Chargée de pharmacovigilance en industrie pharmaceutique
H1515;Auditeur / Auditrice qualité en industrie
H1516;Expert / Experte métrologue
H1517;Responsable de laboratoire de contrôle en industrie pharmaceutique
H1518;Responsable assurance qualité en industrie
H1519;Responsable éthique-déontologie-conformité en industrie pharmaceutique
H1520;Ingénieur / Ingénieure assurance qualité en industrie
H1521;Technicien / Technicienne de validation-qualification
H2301;Conducteur / Conductrice de ligne en industrie chimique
H2302;Conducteur / Conductrice de procédé de fabrication en industrie pharmaceutique
H2303;Opérateur / Opératrice de fabrication en industrie pharmaceutique
H2304;Opérateur / Opératrice de fabrication des industries chimiques
J1202;Pharmacien / Pharmacienne
K2404;Chargé / Chargée de recherche en industrie pharmaceutique
M1408;Responsable des études pharmaco-économiques en industrie pharmaceutique
M1708;Directeur / Directrice de l'accès au marché en industrie pharmaceutique
M1710;Responsable régional / Responsable régionale des relations scientifiques médicales
M1712;Directeur / Directrice de l'information promotionnelle du médicament en industrie pharmaceutique
M1714;Chargé / Chargée de l'information promotionnelle du médicament en industrie pharmaceutique
22;Fabrication de produits en caoutchouc et en plastique
;
H1232;Technicien / Technicienne d'études en industrie des matériaux souples
H2302;Conducteur / Conductrice de procédé de fabrication en industrie pharmaceutique
H3201;Plasturgiste
H3202;Monteur régleur / Monteuse régleuse en plasturgie
H3203;Mouleur-stratifieur / Mouleuse-stratifieuse
H3302;Agent / Agente de conditionnement
23;Fabrication d'autres produits mineraux non metalliques
;
B1102;Mosaïste d'art
B1103;Sculpteur / Sculptrice ornemaniste sur pierre
B1201;Céramiste
F1402;Extracteur / Extractrice de roches
F1612;Tailleur / Tailleuse de pierre
F1625;Monteur / Monteuse en agencement
F1706;Armaturier / Armaturière de l'industrie du béton
H2302;Conducteur / Conductrice de procédé de fabrication en industrie pharmaceutique
H2801;Agent / Agente de fabrication du verre
H2802;Opérateur / Opératrice de fabrication en matériaux de construction
H2803;Opérateur / Opératrice en Industrie Céramique
H2804;Pilote de centrale de béton
H2805;Technicien / Technicienne de l'industrie du verre
H2908;Modeleur / Modeleuse
H3403;Opérateur / Opératrice de traitement thermique
24;Metallurgie
;
B1601;Métallier / Métallière d'art
H1522;Technicien / Technicienne en contrôles et essais non destructifs (CND END)
H2503;Responsable d'îlot de production
H2509;Ingénieur / Ingénieure de fonderie ou de forge
H2904;Forgeron industriel / Forgeronne industrielle
H2907;Fondeur / Fondeuse en métallurgie
H2910;Mouleur noyauteur / Mouleuse noyauteuse
H2914;Tuyauteur / Tuyauteuse
H3401;Opérateur / Opératrice de traitement d'abrasion de surface
25;Fabrication de produits metalliques, a l'exception des machines et des equipements
;
B1303;Graveur / Graveuse d'art
B1601;Métallier / Métallière d'art
B1603;Opérateur / Opératrice en bijouterie
B1605;Bijoutier / Bijoutière
B1606;Joaillier / Joaillière
B1608;Orfèvre planeur / Orfèvre planeuse
B1609;Responsable d'atelier en bijouterie ou joaillerie
B1610;Sertisseur / Sertisseuse en bijouterie ou joaillerie
B1613;Orfèvre
B1614;Monteur / Monteuse en orfèvrerie
B1615;Orfèvre tourneur repousseur / Orfèvre tourneuse repousseuse
F1607;Menuisier / Menuisière aluminium
F1614;Poseur / Poseuse en fermetures de bâtiment
F1616;Poseur / Poseuse de menuiseries extérieures
F1617;Poseur / Poseuse de véranda
H1203;Dessinateur-projeteur / Dessinatrice-projeteuse en mécanique
H1238;Chef / Cheffe de projet conception industrielle en mécanique
H1403;Gestionnaire de flux de production
H1404;Technicien / Technicienne méthodes
H1506;Contrôleur / Contrôleuse technique en métallurgie
H1508;Assureur / Assureuse qualité industrie
H2503;Responsable d'îlot de production
H2507;Responsable de ligne de production industrielle
H2509;Ingénieur / Ingénieure de fonderie ou de forge
H2901;Ajusteur-monteur / Ajusteuse-monteuse
H2902;Chaudronnier / Chaudronnière
H2903;Tourneur-fraiseur / Tourneuse-fraiseuse
H2904;Forgeron industriel / Forgeronne industrielle
H2905;Cisailleur / Cisailleuse en métallurgie
H2906;Opérateur / Opératrice en fabrication mécanique
H2907;Fondeur / Fondeuse en métallurgie
H2909;Assembleur monteur / Assembleuse monteuse
H2911;Métallier / Métallière
H2912;Régleur / Régleuse d'équipements industriels
H2913;Soudeur / Soudeuse
H2915;Chef soudeur / Cheffe soudeuse
H2916;Soudeur / Soudeuse Tungsten Inert Gas -TIG-
H2917;Soudeur / Soudeuse MIG MAG
H3302;Agent / Agente de conditionnement
H3401;Opérateur / Opératrice de traitement d'abrasion de surface
H3402;Agent / Agente de traitement de surface
H3403;Opérateur / Opératrice de traitement thermique
H3404;Peintre industriel / Peintre industrielle
H3407;Metteur au bain / Metteuse au bain argenture - dorure en orfèvrerie
H3408;Metteur au point polisseur / Metteuse au point polisseuse sur matrice en orfèvrerie
I1316;Technicien / Technicienne de maintenance Chauffage, Ventilation et Climatisation - CVC
I1610;Responsable atelier carrosserie
26;Fabrication de produits informatiques, electroniques et optiques
;
B1604;Horloger / Horlogère
B1616;Opérateur / Opératrice en horlogerie
H1202;Dessinateur / Dessinatrice en électricité-électronique
H1209;Technicien / Technicienne en électricité et électronique études et développement
H1212;Ingénieur / Ingénieure brevet en industrie
H1227;Maquettiste en électronique
H1228;Projeteur / Projeteuse chef de groupe en électricité-électronique
H1236;Dessinateur-projeteur / Dessinatrice-projeteuse en électricité-électronique
H1239;Technicien / Technicienne en conception électronique, électrique
H1305;Vérificateur / Vérificatrice de conformité industrielle
H1406;Ingénieur / Ingénieure supply chain en industrie
H1504;Contrôleur / Contrôleuse technique en électricité-électronique
H1520;Ingénieur / Ingénieure assurance qualité en industrie
H2501;Chef / Cheffe d'atelier production électricité-électronique
H2602;Câbleur / Câbleuse d'armoires
H2603;Opérateur / Opératrice sur machines automatisées en production électrique
H2604;Assembleur / Assembleuse en produits électriques et électroniques
H2605;Monteur-câbleur / Monteuse-câbleuse en électronique
I1302;Technicien / Technicienne de maintenance d'installations automatisées
I1320;Technicien / Technicienne de maintenance d'équipements connectés
I1334;Electronicien / Electronicienne de maintenance aéronautique
K1717;Technicien électronicien / Technicienne électronicienne des armées
27;Fabrication d'equipements electriques
;
H1202;Dessinateur / Dessinatrice en électricité-électronique
H1209;Technicien / Technicienne en électricité et électronique études et développement
H1305;Vérificateur / Vérificatrice de conformité industrielle
H1504;Contrôleur / Contrôleuse technique en électricité-électronique
H2302;Conducteur / Conductrice de procédé de fabrication en industrie pharmaceutique
H2501;Chef / Cheffe d'atelier production électricité-électronique
H2601;Bobinier / Bobinière en électricité
H2602;Câbleur / Câbleuse d'armoires
H2603;Opérateur / Opératrice sur machines automatisées en production électrique
H2604;Assembleur / Assembleuse en produits électriques et électroniques
H2605;Monteur-câbleur / Monteuse-câbleuse en électronique
H2606;Monteur-bobinier / Monteuse-bobinière en électricité
H2607;Chef / Cheffe d'atelier de bobinage électrique
H2608;Bobinier / Bobinière en matériels électroniques
H2705;Pilote de ligne de production de composants et de cellules pour batteries de véhicules électriques
I1314;Monteur installateur / Monteuse installatrice d'équipements connectés
I1318;Instrumentiste Industriel / Industrielle
28;Fabrication de machines et equipements n.c.a.
;
H1203;Dessinateur-projeteur / Dessinatrice-projeteuse en mécanique
H1208;Automaticien / Automaticienne en bureau d'études
H1235;Technicien / Technicienne en conception industrielle en mécanique
H1238;Chef / Cheffe de projet conception industrielle en mécanique
H1406;Ingénieur / Ingénieure supply chain en industrie
H2507;Responsable de ligne de production industrielle
H2510;Directeur / Directrice de production industrielle
H2602;Câbleur / Câbleuse d'armoires
H2901;Ajusteur-monteur / Ajusteuse-monteuse
H2902;Chaudronnier / Chaudronnière
H2903;Tourneur-fraiseur / Tourneuse-fraiseuse
H2909;Assembleur monteur / Assembleuse monteuse
H2913;Soudeur / Soudeuse
H2915;Chef soudeur / Cheffe soudeuse
H2916;Soudeur / Soudeuse Tungsten Inert Gas -TIG-
H2917;Soudeur / Soudeuse MIG MAG
I1112;Chef / Cheffe d'atelier engins de levage et de manutention
I1304;Technicien / Technicienne de maintenance industrielle
I1306;Frigoriste
I1313;Hydraulicien industriel / Hydraulicienne industrielle
I1326;Responsable d'équipe maintenance
I1327;Technicien / Technicienne de maintenance en matériel biomédical
I1330;Technicien / Technicienne d'installation de centrales téléphoniques
I1333;Chef / Cheffe d'équipe d'installation industrielle
I1335;Electromécanicien / Electromécanicienne d'équipements industriels
29;Industrie automobile
;
D1430;Conseiller vendeur / Conseillère vendeuse de véhicules de loisirs
F1628;Installateur / Installatrice de bornes de recharges électriques
H1203;Dessinateur-projeteur / Dessinatrice-projeteuse en mécanique
H1235;Technicien / Technicienne en conception industrielle en mécanique
H1238;Chef / Cheffe de projet conception industrielle en mécanique
H1305;Vérificateur / Vérificatrice de conformité industrielle
H1522;Technicien / Technicienne en contrôles et essais non destructifs (CND END)
H2705;Pilote de ligne de production de composants et de cellules pour batteries de véhicules électriques
H2902;Chaudronnier / Chaudronnière
H2906;Opérateur / Opératrice en fabrication mécanique
H2909;Assembleur monteur / Assembleuse monteuse
H2913;Soudeur / Soudeuse
H2915;Chef soudeur / Cheffe soudeuse
H2916;Soudeur / Soudeuse Tungsten Inert Gas -TIG-
H2917;Soudeur / Soudeuse MIG MAG
H3202;Monteur régleur / Monteuse régleuse en plasturgie
I1111;Responsable technique après-vente des véhicules
I1113;Chef / Cheffe d'atelier en démontage recyclage de VHU
I1114;Responsable de centre de contrôle technique de véhicules
I1118;Responsable de site SMAVA (service multimarques de l'après-vente automobile)
I1606;Carrossier-peintre / Carrossière-peintre
I1609;Peintre automobile
I1610;Responsable atelier carrosserie
I1611;Préparateur / Préparatrice de véhicules automobiles
I1614;Préparateur / Préparatrice en peinture automobile
I1619;Mécanicien / Mécanicienne cycles
K1724;Mécanicien / Mécanicienne d'engins blindés
3;Peche et aquaculture
;
A1404;Aquaculteur / Aquacultrice
A1406;Capitaine de pêche
A1415;Marin-pêcheur
A1424;Pisciculteur / Piscicultrice
A1425;Ramendeur / Ramendeuse
A1427;Goémonier / Goémonière
A1428;Algoculteur / Algocultrice
A1430;Ouvrier / Ouvrière aquacole
A1431;Ouvrier / Ouvrière piscicole
A1438;Pêcheur / Pêcheuse à pied
A1445;Pêcheur sous-marin / Pêcheuse sous-marine
I1502;Scaphandrier / Scaphandrière
I1603;Mécanicien-réparateur / Mécanicienne-réparatrice en matériels agricoles
N3101;Officier / Officière de port
N3102;Marin
30;Fabrication d'autres materiels de transport
;
H1522;Technicien / Technicienne en contrôles et essais non destructifs (CND END)
H2213;Menuisier / Menuisière en construction nautique
H2901;Ajusteur-monteur / Ajusteuse-monteuse
H2908;Modeleur / Modeleuse
H3203;Mouleur-stratifieur / Mouleuse-stratifieuse
H3402;Agent / Agente de traitement de surface
H3403;Opérateur / Opératrice de traitement thermique
H3404;Peintre industriel / Peintre industrielle
I1334;Electronicien / Electronicienne de maintenance aéronautique
K1724;Mécanicien / Mécanicienne d'engins blindés
31;Fabrication de meubles
;
B1302;Décorateur / Décoratrice d'objets d'art
B1811;Sellier-garnisseur / Sellière-garnisseuse
F1625;Monteur / Monteuse en agencement
H2201;Assembleur / Assembleuse d'ouvrages en bois
H2202;Conducteur / Conductrice de machines à bois
H2203;Machiniste en fabrications de panneaux de bois
H2204;Contremaître / Contremaîtresse en menuiserie
H2206;Menuisier / Menuisière
H2207;Ebéniste
H2210;Tonnelier / Tonnelière
H2211;Opérateur / Opératrice de sciage bois
H2422;Tapissier industriel / Tapissière industrielle
32;Autres industries manufacturieres
;
B1303;Graveur / Graveuse d'art
B1401;Vannier / Vannière
B1404;Canneur rempailleur / Canneuse rempailleuse
B1501;Facteur / Factrice d’instruments à clavier
B1502;Facteur / Factrice d'instruments de musique anciens
B1503;Facteur / Factrice d'instruments à vent
B1504;Facteur / Factrice de percussions
B1505;Luthier / Luthière
B1605;Bijoutier / Bijoutière
B1606;Joaillier / Joaillière
B1607;Lapidaire / Diamantaire
B1609;Responsable d'atelier en bijouterie ou joaillerie
B1610;Sertisseur / Sertisseuse en bijouterie ou joaillerie
B1611;Trieur / Trieuse de pierres et perles
B1612;Concepteur / Conceptrice numérique en bijouterie joaillerie
B1613;Orfèvre
B1614;Monteur / Monteuse en orfèvrerie
B1615;Orfèvre tourneur repousseur / Orfèvre tourneuse repousseuse
B1701;Taxidermiste
B1702;Technicien / Technicienne en ostéologie-moulage
E1126;Auteur / Auteure de jeux de société
H1302;Ingénieur / Ingénieure Hygiène, Sécurité et Environnement en industrie (HSE)
H1303;Technicien / Technicienne en Hygiène, Sécurité, Environnement industriel (HSE)
H1304;Responsable environnement en industrie
H1308;Animateur / Animatrice en Hygiène Sécurité Environnement (HSE)
